"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"

181,"1","2026-04-20T05:33:09.510805Z",181,"[{""start"":0,""end"":9,""text"":""Elon Musk"",""labels"":[""PERSON""]},{""start"":18,""end"":26,""text"":""Tanzania"",""labels"":[""LOCATION""]}]",41.017,"Elon Musk visited Tanzania last year.","2026-04-20T05:33:09.510805Z"

182,"1","2026-04-20T05:33:35.180747Z",182,"[{""start"":0,""end"":12,""text"":""Barack Obama"",""labels"":[""PERSON""]},{""start"":30,""end"":35,""text"":""Kenya"",""labels"":[""LOCATION""]}]",22.205,"Barack Obama gave a speech in Kenya.","2026-04-20T05:33:35.180747Z"

183,"1","2026-04-20T05:34:07.899118Z",183,"[{""start"":0,""end"":6,""text"":""Google"",""labels"":[""ORGANIZATION""]},{""start"":30,""end"":35,""text"":""Lagos"",""labels"":[""LOCATION""]}]",26.424,"Google opened a new office in Lagos.","2026-04-20T05:34:07.899118Z"

184,"1","2026-04-20T05:34:27.418125Z",184,"[{""start"":0,""end"":15,""text"":""Serena Williams"",""labels"":[""PERSON""]},{""start"":27,""end"":32,""text"":""Paris"",""labels"":[""LOCATION""]}]",15.547,"Serena Williams trained in Paris.","2026-04-20T05:34:27.418125Z"

185,"1","2026-04-20T05:35:44.793393Z",185,"[{""start"":0,""end"":9,""text"":""Microsoft"",""labels"":[""ORGANIZATION""]},{""start"":37,""end"":49,""text"":""South Africa"",""labels"":[""LOCATION""]}]",74.216,"Microsoft announced a partnership in South Africa.","2026-04-20T05:35:44.793393Z"

186,"1","2026-04-20T05:36:02.775065Z",186,"[{""start"":0,""end"":12,""text"":""Lionel Messi"",""labels"":[""PERSON""]},{""start"":25,""end"":30,""text"":""Dubai"",""labels"":[""LOCATION""]}]",13.727,"Lionel Messi traveled to Dubai for an event.","2026-04-20T05:36:02.775065Z"

187,"1","2026-04-20T05:36:21.575432Z",187,"[{""start"":0,""end"":6,""text"":""Amazon"",""labels"":[""ORGANIZATION""]},{""start"":32,""end"":39,""text"":""Nigeria"",""labels"":[""LOCATION""]}]",15.923,"Amazon expanded its services in Nigeria.","2026-04-20T05:36:21.575432Z"

188,"1","2026-04-20T05:36:44.916573Z",188,"[{""start"":0,""end"":13,""text"":""Oprah Winfrey"",""labels"":[""PERSON""]},{""start"":31,""end"":37,""text"":""London"",""labels"":[""LOCATION""]}]",20.328,"Oprah Winfrey hosted a show in London.","2026-04-20T05:36:44.916573Z"

189,"1","2026-04-20T05:37:12.321839Z",189,"[{""start"":0,""end"":8,""text"":""Facebook"",""labels"":[""ORGANIZATION""]},{""start"":35,""end"":40,""text"":""India"",""labels"":[""LOCATION""]}]",20.909,"Facebook launched a new feature in India.","2026-04-20T05:37:12.321839Z"

190,"1","2026-04-20T05:37:31.399198Z",190,"[{""start"":0,""end"":10,""text"":""Bill Gates"",""labels"":[""PERSON""]},{""start"":42,""end"":48,""text"":""Uganda"",""labels"":[""LOCATION""]}]",15.749,"Bill Gates donated funds to a hospital in Uganda.","2026-04-20T05:37:31.399198Z"

191,"1","2026-04-20T05:37:51.515093Z",191,"[{""start"":0,""end"":17,""text"":""Cristiano Ronaldo"",""labels"":[""PERSON""]},{""start"":36,""end"":41,""text"":""Spain"",""labels"":[""LOCATION""]}]",14.295,"Cristiano Ronaldo played a match in Spain.","2026-04-20T05:37:51.515093Z"

